The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.maven.UpgradeParentVersion,10,9,0,0,1204030375,234818678
org.openrewrite.java.spring.boot2.RemoveObsoleteSpringRunners,10,9,12646,2580,81730,27094
org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName,10,9,7060,1616,35992,9397
org.openrewrite.java.RemoveMethodInvocations,10,9,0,0,996920,66655
org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain,10,9,4869,699,29041,9269
org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket,10,9,6555,780,66883,13430
org.openrewrite.java.spring.framework.MigrateResponseStatusExceptionGetRawStatusCodeMethod,10,9,0,0,2055808,482434
org.openrewrite.java.migrate.jakarta.JakartaEE10,10,9,21133,2876,56104,35121
org.openrewrite.java.migrate.javaee7.OpenJPAPersistenceProvider,10,9,5605,719,12982,2478
org.openrewrite.java.migrate.jakarta.JakartaWebXml6,10,9,22881,16124,17783,2836
org.openrewrite.java.spring.boot2.MigrateDatabaseCredentialsForToolYaml,10,9,0,0,57087,4254
org.openrewrite.openapi.swagger.MigrateSwaggerDefinitionToOpenAPIDefinition,10,9,0,0,77174,11089
org.openrewrite.java.migrate.jakarta.JavaxResourceToJakartaResource,10,9,8674,885,32010,7697
org.openrewrite.java.dependencies.AddDependency,10,9,154957339,58641629,45425784,23313268
org.openrewrite.java.testing.junit5.UseMockitoExtension,10,9,28372,2856,76332,21155
org.openrewrite.java.spring.framework.EnvironmentAcceptsProfiles,10,9,0,0,295438,17004
org.openrewrite.java.spring.boot3.MigrateWebMvcTagsToObservationConvention,10,9,0,0,2475022,383657
org.openrewrite.java.spring.boot2.UnnecessarySpringRunWith,10,9,38476,5029,164562,106654
org.openrewrite.java.spring.doc.ApiInfoBuilderToInfo,10,9,0,0,1989908,393999
org.openrewrite.java.migrate.lombok.LombokValToFinalVar,10,9,0,0,1255426,229383
org.openrewrite.java.migrate.jakarta.JavaxFacesConfigXmlToJakartaFacesConfigXml,10,9,12940,1943,64473,8078
org.openrewrite.java.spring.data.MigrateQuerydslJpaRepository,10,9,0,0,74354,6939
org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal,10,9,0,0,420769,337395
org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums,10,9,0,0,458901,325478
org.openrewrite.java.migrate.BeanDiscovery,10,9,0,0,235512,188959
org.openrewrite.java.spring.NoRequestMappingAnnotation,10,9,0,0,4235732,3140977
org.openrewrite.maven.UpgradePluginVersion,10,9,0,0,10549294,2018652
org.openrewrite.java.migrate.javax.MigrateSimpleElementVisitor6To9,10,9,5259,753,20644,5318
org.openrewrite.java.spring.cloud2022.AddLoggingPatternLevelForSleuth,10,9,1146359,821320,472514,244695
org.openrewrite.java.migrate.jakarta.UpdateYassonDependencies,10,9,5840,1232,80413,58790
org.openrewrite.java.ChangePackageInStringLiteral,10,9,0,0,4826514,507262
org.openrewrite.java.migrate.MXBeanRule,10,9,0,0,2901630,732434
org.openrewrite.java.migrate.util.OptionalStreamRecipe,10,9,0,0,36406,10628
org.openrewrite.java.spring.ChangeMethodParameter,10,9,0,0,21983,2842
org.openrewrite.java.RemoveAnnotationAttribute,10,9,0,0,581447,15392
org.openrewrite.java.migrate.UpgradeJavaVersion,10,9,0,0,17423591,5265189
org.openrewrite.java.spring.framework.JdbcTemplateObjectArrayArgToVarArgs,10,9,0,0,193637,9383
org.openrewrite.java.spring.batch.SpringBatch4To5Migration,10,9,12600,3744,46299,7360
org.openrewrite.java.spring.framework.MigrateHandlerInterceptor,10,9,0,0,288847,60963
org.openrewrite.java.spring.kafka.UpgradeSpringKafka_3_0,10,9,7171,674,29541,5788
org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle,10,9,0,0,37188,8877
org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation,10,9,13326,1199,19731,2762
org.openrewrite.java.spring.security5.UpdatePbkdf2PasswordEncoder,10,9,0,0,38867,4030
org.openrewrite.java.testing.junit5.MigrateJUnitTestCase,10,9,0,0,133255,14676
org.openrewrite.java.spring.cloud2022.UpgradeSpringCloud_2022,10,9,8448,703,47373,4952
org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderBasicAuthorization,10,9,40996,10796,29005,4316
org.openrewrite.java.spring.boot2.DatabaseComponentAndBeanInitializationOrderingUnconditionally,10,9,0,0,14192,2017
org.openrewrite.java.migrate.JREWrapperInterface,10,9,10806,3073,28540,5475
org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive,10,9,0,0,90691,16223
org.openrewrite.java.testing.junit5.TempDirNonFinal,10,9,0,0,61866,4336
